# Rime user dictionary
#@/db_name	wubi86.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	15721
#@/user_id	0bb3099a-66e4-4762-83f5-648368fe1502
fc 	支	c=3 d=0.0330412 t=15721
fcb 	却	c=8 d=0.00882647 t=15721
fcfc 	运动	c=7 d=0.161802 t=15721
fcl 	动	c=108 d=3.57999 t=15721
fcp 	运	c=9 d=0.00185773 t=15721
fcpi 	运	c=14 d=0.00375375 t=15721
fcr 	魂	c=1 d=1.37853e-012 t=15721
fcrf 	支持	c=26 d=0.13087 t=15721
fctf 	运行	c=3 d=0.374884 t=15721
fcth 	运算	c=3 d=2.32217e-009 t=15721
fcu 	云	c=5 d=1.82063e-012 t=15721
fcu 	去	c=22 d=9.05385e-006 t=15721
fcu 	支	c=10 d=2.4094e-021 t=15721
fcwg 	支使	c=1 d=1.73113e-015 t=15721
fcwt 	动作	c=6 d=1.34873e-012 t=15721
fd 	城	c=5 d=0.918512 t=15721
fdm 	需	c=2 d=3.78809e-016 t=15721
fdmj 	需	c=8 d=0.945541 t=15721
fdsv 	需要	c=71 d=1.33998 t=15721
fe 	圾	c=1 d=2.78369e-015 t=15721
ff 	寺	c=2 d=0.857828 t=15721
ffc 	坛	c=3 d=0.644221 t=15721
fffy 	封	c=3 d=2.2504e-006 t=15721
ffhw 	填	c=11 d=1.51694e-005 t=15721
ffuf 	封闭	c=1 d=7.43874e-020 t=15721
ffuk 	墙	c=1 d=1.5154e-008 t=15721
fg 	二	c=32 d=0.362926 t=15721
fgef 	博	c=2 d=0.227785 t=15721
fgg 	二	c=1 d=1.12846e-010 t=15721
fggh 	干	c=11 d=0.0197421 t=15721
fgh 	十	c=10 d=1.08571 t=15721
fghy 	寸	c=3 d=9.92533e-007 t=15721
fghy 	雨	c=1 d=3.08977e-007 t=15721
fgi 	坏	c=1 d=1.2849e-008 t=15721
fgit 	干活	c=2 d=0.0105145 t=15721
fgo 	垭	c=1 d=2.3481e-013 t=15721
fh 	直	c=8 d=0.269134 t=15721
fha 	越	c=6 d=1.48614e-006 t=15721
fhb 	趣	c=1 d=2.38854e-008 t=15721
fhbc 	趣	c=2 d=2.24944e-008 t=15721
fhf 	直	c=17 d=0.396678 t=15721
fhfp 	超过	c=1 d=9.27426e-007 t=15721
fhg 	址	c=20 d=2.1787e-005 t=15721
fhgo 	起来	c=6 d=0.0547493 t=15721
fhn 	起	c=5 d=1.20987e-006 t=15721
fhnv 	起	c=16 d=4.33421e-005 t=15721
fhog 	盐业	c=1 d=2.35987e-013 t=15721
fhru 	直接	c=17 d=0.489192 t=15721
fhu 	走	c=10 d=0.427542 t=15721
fhv 	超	c=2 d=2.30599e-006 t=15721
fhvk 	超	c=2 d=7.30908e-019 t=15721
fhw 	真	c=9 d=0.000867409 t=15721
fhwg 	颠倒	c=1 d=2.62381e-025 t=15721
fi 	示	c=5 d=3.38118e-005 t=15721
fii 	未	c=22 d=0.612502 t=15721
fiu 	示	c=50 d=0.434681 t=15721
fixc 	未经	c=1 d=2.88235e-013 t=15721
fiy 	求	c=7 d=0.0067766 t=15721
fiyi 	求	c=2 d=2.20565e-012 t=15721
fj 	进	c=124 d=1.00368 t=15721
fja 	戟	c=1 d=6.85143e-023 t=15721
fjeg 	朝	c=4 d=1.48899e-007 t=15721
fjfh 	韩	c=15 d=1.80138 t=15721
fjtf 	进行	c=3 d=1.48714 t=15721
fjtk 	进程	c=1 d=8.57144e-011 t=15721
fjty 	进入	c=1 d=1.19974e-005 t=15721
fjuj 	埋单	c=1 d=2.71588e-019 t=15721
fjwh 	进修	c=1 d=1.10686e-018 t=15721
fjwn 	翰	c=21 d=0.0152222 t=15721
fjya 	进度	c=2 d=0.386741 t=15721
fk 	吉	c=3 d=1.35078e-008 t=15721
fkcq 	喜欢	c=2 d=0.0555762 t=15721
fke 	袁	c=1 d=1.57698e-006 t=15721
fkep 	喜爱	c=1 d=2.33878e-025 t=15721
fkep 	遠	c=1 d=2.3155e-025 t=15721
fkf 	吉	c=1 d=5.35444e-005 t=15721
